date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:17:51	4598/4598	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2259800707-11f6%22	https://www.northerncoastdiving.com/wp-includes/js/mediaelement/mejs-controls.svg	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-includes/js/mediaelement/mejs-controls.svg	(from https://www.northerncoastdiving.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.16)
01:17:51	20410/20410	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22616d3962-4fba%22	https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helvetica_bold_0-webfont.eot	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helvetica_bold_0-webfont.eot	(from https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/sfsi-style.css?ver=5.8.3)
01:17:51	20410/20410	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22616d3962-4fba%22	https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helvetica_bold_0-webfont.eot?	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helvetica_bold_0-webfontd41d.eot	(from https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/sfsi-style.css?ver=5.8.3)
01:17:51	23992/23992	---M--	200	added ('OK')	font/woff	etag:%22616d3962-5db8%22	https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helvetica_bold_0-webfont.woff	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helvetica_bold_0-webfont.woff	(from https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/sfsi-style.css?ver=5.8.3)
01:17:51	41660/41660	---M--	200	added ('OK')	application/octet-stream	etag:%22616d3962-a2bc%22	https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helvetica_bold_0-webfont.ttf	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helvetica_bold_0-webfont.ttf	(from https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/sfsi-style.css?ver=5.8.3)
01:17:52	51430/51430	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22616d3962-c8e6%22	https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helvetica_bold_0-webfont.svg	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helvetica_bold_0-webfont.svg	(from https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/sfsi-style.css?ver=5.8.3)
01:17:52	22456/22456	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22616d3962-57b8%22	https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helvetica_0-webfont.eot	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helvetica_0-webfont.eot	(from https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/sfsi-style.css?ver=5.8.3)
01:17:52	22456/22456	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22616d3962-57b8%22	https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helvetica_0-webfont.eot?	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helvetica_0-webfontd41d.eot	(from https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/sfsi-style.css?ver=5.8.3)
01:17:52	25940/25940	---M--	200	added ('OK')	font/woff	etag:%22616d3962-6554%22	https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helvetica_0-webfont.woff	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helvetica_0-webfont.woff	(from https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/sfsi-style.css?ver=5.8.3)
01:17:52	45616/45616	---M--	200	added ('OK')	application/octet-stream	etag:%22616d3962-b230%22	https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helvetica_0-webfont.ttf	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helvetica_0-webfont.ttf	(from https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/sfsi-style.css?ver=5.8.3)
01:17:53	72674/72674	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22616d3962-11be2%22	https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helvetica_0-webfont.svg	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/fonts/helvetica_0-webfont.svg	(from https://www.northerncoastdiving.com/wp-content/plugins/ultimate-social-media-plus/css/sfsi-style.css?ver=5.8.3)
